state,year,avg_annual_temp_celsius
ACT,1980,8.77
ACT,1981,14.145
ACT,1982,8.845
ACT,1983,13.295
ACT,1984,9.405
ACT,1985,10.675
ACT,1986,10.18
ACT,1987,9.37
ACT,1988,10.265
ACT,1989,10.47
ACT,1990,10.035
ACT,1991,12.135
ACT,1992,11.695
ACT,1993,11.4
ACT,1994,8.61
ACT,1995,11.24
ACT,1996,12.065
ACT,1997,8.36
ACT,1998,10.93
ACT,1999,11.38
ACT,2000,7.965
ACT,2001,7.125
ACT,2002,6.635
ACT,2003,8.28
ACT,2004,12.18
ACT,2005,13.665
ACT,2006,15.48
ACT,2007,9.785
ACT,2008,12.515
ACT,2009,9.345
ACT,2010,9.245
ACT,2011,11.49
ACT,2012,9.445
ACT,2013,9
ACT,2014,9.14
ACT,2015,7.15
ACT,2016,10.76
ACT,2017,6.665
ACT,2018,7.52
ACT,2019,12.69
ACT,2020,13.08
ACT,2021,10.79
ACT,2022,12.2
ACT,2023,11.005
NSW,1980,18.25
NSW,1981,20.365
NSW,1982,19.915
NSW,1983,19.93
NSW,1984,15.85
NSW,1985,17.98
NSW,1986,17.795
NSW,1987,15.7
NSW,1988,15.67
NSW,1989,17.39
NSW,1990,20.61
NSW,1991,18.505
NSW,1992,19.33
NSW,1993,19.525
NSW,1994,18.365
NSW,1995,16.46
NSW,1996,16.69
NSW,1997,18.18
NSW,1998,18
NSW,1999,15.7
NSW,2000,12.725
NSW,2001,13.77
NSW,2002,15.14
NSW,2003,15.58
NSW,2004,18.23
NSW,2005,19.425
NSW,2006,20.855
NSW,2007,14.535
NSW,2008,17.95
NSW,2009,16.315
NSW,2010,14.915
NSW,2011,16.8
NSW,2012,14.195
NSW,2013,19.515
NSW,2014,18.875
NSW,2015,14.475
NSW,2016,18.345
NSW,2017,12.78
NSW,2018,15.375
NSW,2019,19.485
NSW,2020,21.94
NSW,2021,15.915
NSW,2022,16.26
NSW,2023,18.195
NT,1980,22.795
NT,1981,30.945
NT,1982,27.24
